date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:26:57	507/507	---MCZ	200	added ('OK')	text/plain	etag:cacheable:f55747ced241ddd8d0ecce93ab786110	https://theme870-car-dealer.myshopify.com/robots.txt		(from )
00:26:57	93235/93235	---MCZ	200	added ('OK')	text/html	etag:cacheable:7aec013dc391c4d3acbc75a793828944	https://theme870-car-dealer.myshopify.com/	C:/My%20Web%20Sites/test/theme870-car-dealer.myshopify.com/index.html	(from )
00:26:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Mar%202023%2023:25:09%20GMT	http://cdn.shopify.com/s/files/1/0402/4431/4268/files/fav_32x32.png?v=1613730012	C:/My%20Web%20Sites/test/cdn.shopify.com/s/files/1/0402/4431/4268/files/fav_32x32.0f995.delayed	(from https://theme870-car-dealer.myshopify.com/)
00:26:59	932/932	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Mar%202023%2004:17:25%20GMT	https://cdn.shopify.com/s/files/1/0402/4431/4268/files/fav_32x32.png?v=1613730012	C:/My%20Web%20Sites/test/cdn.shopify.com/s/files/1/0402/4431/4268/files/fav_32x32f995.png	(from https://theme870-car-dealer.myshopify.com/)
00:26:59	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Mar%202023%2023:25:10%20GMT	http://cdn.shopify.com/s/files/1/0402/4431/4268/t/2/assets/style.scss.css?v=82075864039122045691656105590	C:/My%20Web%20Sites/test/cdn.shopify.com/s/files/1/0402/4431/4268/t/2/assets/style.scss3747.css	(from https://theme870-car-dealer.myshopify.com/)
00:26:59	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Mar%202023%2023:25:11%20GMT	http://cdn.shopify.com/s/files/1/0402/4431/4268/t/2/assets/responsive.scss.css?v=154932112072804460831591262450	C:/My%20Web%20Sites/test/cdn.shopify.com/s/files/1/0402/4431/4268/t/2/assets/responsive.scss752c.css	(from https://theme870-car-dealer.myshopify.com/)
00:27:00	220750/220750	---MCZ	200	added ('OK')	text/css	date:Fri,%2017%20Mar%202023%2011:50:17%20GMT	https://cdn.shopify.com/s/files/1/0402/4431/4268/t/2/assets/style.scss.css?v=82075864039122045691656105590	C:/My%20Web%20Sites/test/cdn.shopify.com/s/files/1/0402/4431/4268/t/2/assets/style.scss3747.css	(from https://theme870-car-dealer.myshopify.com/)
00:27:01	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Mar%202023%2023:25:12%20GMT	http://cdn.shopify.com/s/files/1/0402/4431/4268/t/2/assets/assets.js?v=105510446675000544581591178291	C:/My%20Web%20Sites/test/cdn.shopify.com/s/files/1/0402/4431/4268/t/2/assets/assets76e5.js	(from https://theme870-car-dealer.myshopify.com/)
00:27:01	30390/30390	---MCZ	200	added ('OK')	text/css	date:Thu,%2023%20Mar%202023%2007:20:21%20GMT	https://cdn.shopify.com/s/files/1/0402/4431/4268/t/2/assets/responsive.scss.css?v=154932112072804460831591262450	C:/My%20Web%20Sites/test/cdn.shopify.com/s/files/1/0402/4431/4268/t/2/assets/responsive.scss752c.css	(from https://theme870-car-dealer.myshopify.com/)
00:27:02	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Mar%202023%2023:25:13%20GMT	http://cdn.shopify.com/s/files/1/0402/4431/4268/t/2/assets/lazysizes.min.js?v=35890577942795198701591178298	C:/My%20Web%20Sites/test/cdn.shopify.com/s/files/1/0402/4431/4268/t/2/assets/lazysizes.minb980.js	(from https://theme870-car-dealer.myshopify.com/)
